Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-11,S. Korea,51281783,2410483,24606,432,22693,89,1481
2020-10-11,Greece,10408399,1423000,22358,449,9989,93,11920
2020-10-11,Cameroon,26727521,149000,21203,423,20117,61,663
2020-10-11,North Macedonia,2083350,207891,20937,792,16194,4,3951
2020-10-11,Croatia,4097967,358515,20440,324,17298,26,2818
2020-10-11,Slovakia,5460397,548449,19851,61,5631,48,14159
2020-10-11,Ivory Coast,26557886,173214,20154,120,19798,,236
2020-10-11,Madagascar,27886450,74827,16718,237,16042,18,439
2020-10-11,Malaysia,32482283,1627612,15657,157,10913,90,4587
2020-10-11,Norway,5433220,1140084,15524,275,11863,3,3386
2020-10-11,Albania,2876897,94247,15399,420,9500,16,5479
2020-10-11,Zambia,18524743,186063,15458,337,14599,,522
2020-10-11,Senegal,16864927,189248,15268,314,13297,6,1657
2020-10-11,Montenegro,628089,76950,13869,202,9620,20,4047
2020-10-11,Sudan,44131451,,13685,836,6764,,6085
2020-10-11,Georgia,3986972,706806,11794,85,6327,,5382
2020-10-11,Finland,5543175,1175873,11998,346,8500,5,3152
2020-10-11,Namibia,2553699,109829,11936,128,9817,7,1991
2020-10-11,Guinea,13230352,34308,11022,69,10324,24,629
2020-10-11,Maldives,543193,150743,10894,35,9742,12,1117
2020-10-11,DRC,90302874,,10851,276,10242,,333
2020-10-11,Tajikistan,9596779,,10222,79,9058,,1085
2020-10-11,French Guiana,300807,69684,10170,69,9834,6,267
2020-10-11,Mozambique,31494883,153915,10001,71,7338,,2592
2020-10-11,Uganda,46133567,507859,9801,93,6109,,3599
2020-10-11,Luxembourg,628818,895762,9722,132,8038,1,1552
2020-10-11,Haiti,11441545,29115,8882,230,7104,,1548
2020-10-11,Gabon,2240204,198364,8835,54,8189,3,592
2020-10-11,Slovenia,2079020,258707,8663,167,5182,27,3314
2020-10-11,Zimbabwe,14923427,161525,8011,230,6504,,1277
2020-10-11,Jamaica,2964838,84779,7718,139,3162,16,4417
2020-10-11,Mauritania,4683177,82098,7550,163,7274,3,113
2020-10-11,Cabo Verde,557686,87076,7072,75,5981,23,1016
2020-10-11,Angola,33144334,85213,6366,218,2743,10,3405
2020-10-11,Guadeloupe,400144,59202,6483,77,2199,35,4207
2020-10-11,Lithuania,2711221,842423,6122,103,2777,8,3242
2020-10-11,Cuba,11324638,691743,5978,123,5540,1,315
2020-10-11,Malawi,19265628,56034,5821,180,4647,4,994
2020-10-11,Eswatini,1163545,45570,5669,113,5310,11,246
2020-10-11,Djibouti,992018,79257,5423,61,5355,,7
2020-10-11,Nicaragua,6646687,,5264,153,4225,,886
2020-10-11,Hong Kong,7514161,3473928,5183,105,4919,8,159
2020-10-11,Congo,5555444,,5118,90,3887,,1141
2020-10-11,Trinidad and Tobago,1400777,33013,5101,90,3252,14,1759
