Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-04-18,USA,331018157,3722145,738792,39014,68269,13551,631509
2020-04-18,Brazil,212570544,62985,36722,2361,14026,6634,20335
2020-04-18,Russia,145935130,1831892,36793,313,3057,8,33423
2020-04-18,India,1380085626,335123,16365,521,2463,,13381
2020-04-18,Spain,46754972,930230,194416,20043,74797,7371,99576
2020-04-18,Peru,32973640,135895,14420,348,6684,117,7388
2020-04-18,Chile,19117287,108891,9730,126,4035,360,5569
2020-04-18,UK,67888969,460437,114217,15464,,1559,98409
2020-04-18,Italy,60460794,1305833,175925,23227,44927,2733,107771
2020-04-18,Mexico,128940399,48365,6875,546,2125,207,4204
2020-04-18,Iran,83997756,330137,80868,5031,55987,3513,19850
2020-04-18,Pakistan,220896749,92548,7638,143,1832,46,5663
2020-04-18,Turkey,84344072,598933,82329,1890,10453,1894,69986
2020-04-18,Saudi Arabia,34815518,150000,8274,92,1329,78,6853
2020-04-18,Germany,83786438,1728357,143724,4538,85400,2922,53786
2020-04-18,South Africa,59312107,108021,3034,52,903,36,2079
2020-04-18,France,65274927,463662,151793,19323,35983,5833,96487
2020-04-18,Bangladesh,164699098,21307,2144,84,66,1,1994
2020-04-18,Colombia,50885910,59002,3621,166,691,98,2764
2020-04-18,Canada,37744314,516216,33383,1470,11207,557,20706
2020-04-18,Qatar,2807805,60139,5008,8,510,37,4490
2020-04-18,China,1439323776,,82719,4632,77029,85,1058
2020-04-18,Argentina,45198395,30942,2839,132,685,127,2022
2020-04-18,Egypt,102336953,55000,3032,224,701,,2107
2020-04-18,Sweden,10099756,74600,13822,1511,550,1054,11761
2020-04-18,Belarus,9449289,86813,4779,45,342,65,4392
2020-04-18,Belgium,11590064,145997,37183,5453,8348,1119,23382
2020-04-18,Indonesia,273539841,39422,6248,535,631,,5082
2020-04-18,Ecuador,17643922,30922,9022,456,1008,168,7558
2020-04-18,Iraq,40221975,53955,1513,82,953,,478
2020-04-18,Netherlands,17135244,154911,31589,3601,,1279,27738
2020-04-18,UAE,9890980,767000,6302,37,1188,1,5077
2020-04-18,Kuwait,4270789,,1751,6,280,34,1465
2020-04-18,Ukraine,43730137,52534,5106,133,275,45,4698
2020-04-18,Singapore,5850663,94796,5992,11,740,23,5241
2020-04-18,Kazakhstan,18777808,100878,1615,17,377,22,1221
2020-04-18,Oman,5106343,,1180,6,176,3,998
2020-04-18,Portugal,10196343,235878,19685,687,610,228,18388
2020-04-18,Philippines,109587217,56048,6087,397,516,1,5174
2020-04-18,Panama,4314967,18559,4210,116,122,96,3972
2020-04-18,Bolivia,11673664,3569,493,31,31,3,431
2020-04-18,Poland,37846137,192960,8742,347,981,160,7414
2020-04-18,Dominican Republic,10848551,14373,4335,217,312,146,3806
2020-04-18,Afghanistan,38927805,,933,30,112,,791
2020-04-18,Switzerland,8655082,216400,27404,1368,17100,386,8936
2020-04-18,Bahrain,1701143,82568,1773,7,755,3,1011
2020-04-18,Romania,19235880,90991,8418,421,1730,248,6267
2020-04-18,Israel,9197590,187250,13265,164,3456,164,9645
2020-04-18,Nigeria,206130241,7153,542,19,166,2,357
2020-04-18,Armenia,2963298,11796,1248,20,523,30,705
2020-04-18,Ireland,4938079,90646,14758,571,77,294,14110
2020-04-18,Guatemala,17916069,7200,235,7,21,3,207
2020-04-18,Honduras,9905059,2396,457,46,10,10,401
2020-04-18,Ghana,31073108,60916,834,9,99,4,726
2020-04-18,Azerbaijan,10139762,86607,1373,18,590,21,765
2020-04-18,Japan,126471668,111325,10296,222,1069,221,9005
2020-04-18,Austria,9006813,175932,14671,443,10214,208,4014
2020-04-18,Moldova,4033850,9848,2351,57,391,80,1903
2020-04-18,Serbia,8736919,36028,5994,117,637,126,5240
2020-04-18,Nepal,29137741,15800,31,,3,,28
2020-04-18,Algeria,43852424,3359,2534,367,894,60,1273
2020-04-18,Morocco,36912729,13689,2685,137,314,1,2234
2020-04-18,S. Korea,51269647,546463,10653,232,7937,55,2484
2020-04-18,Denmark,5792389,91437,7242,346,3847,76,3049
2020-04-18,Cameroon,26544616,,1017,42,305,33,670
2020-04-18,Czechia,10709179,162533,6606,181,1227,86,5198
2020-04-18,Ivory Coast,26377087,,801,8,239,,554
2020-04-18,Sudan,43848176,,66,10,6,,50
2020-04-18,Uzbekistan,33470949,136000,1490,5,194,8,1291
2020-04-18,Norway,5421538,139668,7036,164,32,63,6840
2020-04-18,Malaysia,32367850,100794,5305,88,3102,49,2115
2020-04-18,Australia,25501388,406510,6586,70,4167,55,2349
2020-04-18,DRC,89548102,,307,25,26,,256
2020-04-18,El Salvador,6486480,10191,190,7,43,1,140
2020-04-18,Finland,5540807,55600,3681,90,1700,70,1891
2020-04-18,Kenya,53770877,10784,262,12,60,2,190
2020-04-18,Senegal,16742747,,350,3,211,1,136
2020-04-18,North Macedonia,2083373,11556,1170,49,164,15,957
2020-04-18,Kyrgyzstan,6524470,26147,506,5,130,5,371
2020-04-18,Venezuela,28434951,299714,227,9,117,4,101
2020-04-18,Haiti,11403193,498,44,3,,,41
2020-04-18,Tajikistan,9537520,,,,,,
2020-04-18,Ethiopia,114958401,6890,105,3,16,1,86
2020-04-18,Gabon,2225671,572,108,1,7,,100
