Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases,New Deaths,Percentage_Positive
01-08-2020,Monaco,39305,38209,120,4,105,11,,,0.305304669
02-08-2020,Monaco,39305,38209,120,4,105,11,,,0.305304669
03-08-2020,Monaco,39305,38209,121,4,105,12,,,0.307848874
04-08-2020,Monaco,39305,38209,123,4,105,14,,,0.312937285
05-08-2020,Monaco,39305,38209,125,4,105,16,,,0.318025696
06-08-2020,Monaco,39305,38209,125,4,105,16,,,0.318025696
07-08-2020,Monaco,39305,38209,128,4,105,19,,,0.325658313
08-08-2020,Monaco,39305,38209,131,4,112,15,,,0.33329093
09-08-2020,Monaco,39305,38209,133,4,113,16,,,0.338379341
10-08-2020,Monaco,39305,38209,133,4,113,16,,,0.338379341
11-08-2020,Monaco,39305,38209,138,4,113,21,,,0.351100369
12-08-2020,Monaco,39305,38209,141,4,114,23,,,0.358732986
13-08-2020,Monaco,39305,38209,144,4,114,26,,,0.366365602
14-08-2020,Monaco,39305,38209,146,4,114,28,,,0.371454013
15-08-2020,Monaco,39305,38209,146,4,114,28,,,0.371454013
16-08-2020,Monaco,39305,38209,146,4,114,28,,,0.371454013
17-08-2020,Monaco,39305,38209,148,4,114,30,,,0.376542425
18-08-2020,Monaco,39305,38209,148,4,114,30,,,0.376542425
19-08-2020,Monaco,39305,38209,148,4,114,30,,,0.376542425
