Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases,New Deaths,Percentage_Positive
19-04-2020,Afghanistan,39119903,6422,996,33,131,832,,,0.002546019
20-04-2020,Afghanistan,39119903,6422,1026,36,135,855,,,0.002622706
21-04-2020,Afghanistan,39119903,6422,1092,36,150,906,,,0.002791418
22-04-2020,Afghanistan,39119903,6422,1176,40,166,970,,,0.003006142
23-04-2020,Afghanistan,39119903,6422,1279,42,179,1058,,,0.003269436
24-04-2020,Afghanistan,39119903,6422,1351,43,188,1120,,,0.003453485
25-04-2020,Afghanistan,39119903,7425,1463,47,188,1228,,,0.003739784
26-04-2020,Afghanistan,39119903,8090,1531,50,207,1274,,,0.003913609
27-04-2020,Afghanistan,39119903,8694,1703,57,220,1426,,,0.004353283
28-04-2020,Afghanistan,39119903,9000,1828,58,228,1542,,,0.004672813
29-04-2020,Afghanistan,39119903,9000,1939,60,252,1627,,,0.004956556
30-04-2020,Afghanistan,39119903,10022,2171,64,260,1847,,,0.005549605
01-05-2020,Afghanistan,39119903,10593,2335,68,310,1957,,,0.005968829
02-05-2020,Afghanistan,39119903,11068,2469,72,345,2274,,,0.006311365
03-05-2020,Afghanistan,39119903,11068,2704,85,345,2274,,,0.006912083
04-05-2020,Afghanistan,39119903,11068,2894,90,397,2407,,,0.007397769
05-05-2020,Afghanistan,39119903,13076,3224,95,421,2708,,,0.008241329
06-05-2020,Afghanistan,39119903,13777,3392,104,458,2830,,,0.008670778
07-05-2020,Afghanistan,39119903,14389,3563,106,468,2989,,,0.009107896
08-05-2020,Afghanistan,39119903,14389,3778,109,472,3197,,,0.009657488
09-05-2020,Afghanistan,39119903,15560,4033,115,502,3416,,,0.01030933
10-05-2020,Afghanistan,39119903,15560,4402,120,558,3724,,,0.011252584
11-05-2020,Afghanistan,39119903,15560,4687,122,558,4007,,,0.011981114
12-05-2020,Afghanistan,39119903,18098,4963,127,610,4226,,,0.012686637
13-05-2020,Afghanistan,39119903,18724,5226,132,648,4446,,,0.013358929
14-05-2020,Afghanistan,39119903,19732,5639,136,691,4812,,,0.014414657
15-05-2020,Afghanistan,39119903,20854,6053,153,745,5155,,,0.015472942
16-05-2020,Afghanistan,39119903,21967,6402,168,745,5489,,,0.016365071
17-05-2020,Afghanistan,39119903,22639,6664,169,778,5717,,,0.017034807
18-05-2020,Afghanistan,39119903,23497,7072,173,801,6098,,,0.018077754
19-05-2020,Afghanistan,39119903,24697,7653,178,850,6625,,,0.019562932
20-05-2020,Afghanistan,39119903,25700,8145,187,930,7028,,,0.020820604
21-05-2020,Afghanistan,39119903,26707,8676,193,938,7545,,,0.022177969
22-05-2020,Afghanistan,39119903,27889,9216,205,996,8015,,,0.023558341
23-05-2020,Afghanistan,39119903,29417,9998,216,1040,8742,,,0.025557323
24-05-2020,Afghanistan,39119903,30052,10582,218,1075,9289,,,0.027050169
25-05-2020,Afghanistan,39119903,31718,11173,219,1097,9857,,,0.028560909
26-05-2020,Afghanistan,39119903,32870,11831,220,1128,10483,,,0.030242918
27-05-2020,Afghanistan,39119903,33864,12456,227,1138,11091,,,0.03184057
28-05-2020,Afghanistan,39119903,34903,13036,235,1209,11592,,,0.033323191
29-05-2020,Afghanistan,39119903,35923,13659,246,1259,12154,,,0.034915731
30-05-2020,Afghanistan,39119903,37348,14525,249,1303,12973,,,0.037129438
31-05-2020,Afghanistan,39119903,38460,15205,257,1328,13620,,,0.038867683
01-06-2020,Afghanistan,39119903,39628,15750,265,1428,14057,,,0.040260836
02-06-2020,Afghanistan,39119903,40950,16509,270,1450,14789,,,0.042201025
03-06-2020,Afghanistan,39119903,42273,17267,294,1522,15451,,,0.044138658
04-06-2020,Afghanistan,39119903,43569,18054,300,1585,16169,,,0.046150421
05-06-2020,Afghanistan,39119903,45139,18969,309,1762,16898,,,0.048489384
06-06-2020,Afghanistan,39119903,45900,19551,327,1830,17394,,,0.049977118
07-06-2020,Afghanistan,39119903,47327,20342,357,1875,18110,,,0.051999106
08-06-2020,Afghanistan,39119903,48305,20917,369,2171,18377,,,0.053468946
09-06-2020,Afghanistan,39119903,49530,21459,384,2651,18424,,,0.05485443
10-06-2020,Afghanistan,39119903,50658,22142,405,3013,18724,,,0.056600345
11-06-2020,Afghanistan,39119903,52546,22890,426,3326,19138,,,0.058512415
12-06-2020,Afghanistan,39119903,53705,23546,446,3928,19172,,,0.060189311
13-06-2020,Afghanistan,39119903,54770,24102,451,4201,19450,,,0.061610582
14-06-2020,Afghanistan,39119903,55981,24766,471,4725,19570,,,0.063307928
15-06-2020,Afghanistan,39119903,57532,25527,478,5164,19885,,,0.065253229
16-06-2020,Afghanistan,39119903,59172,26310,491,5508,20311,,,0.067254768
17-06-2020,Afghanistan,39119903,60298,26874,504,6158,20212,,,0.068696489
18-06-2020,Afghanistan,39119903,61599,27532,546,7660,19326,,,0.070378498
19-06-2020,Afghanistan,39119903,62492,27878,548,7962,19368,,,0.071262958
20-06-2020,Afghanistan,39119903,63951,28424,569,8292,19563,,,0.072658667
21-06-2020,Afghanistan,39119903,64958,28833,581,8764,19488,,,0.07370417
22-06-2020,Afghanistan,39119903,65847,29157,598,8841,19718,,,0.074532393
23-06-2020,Afghanistan,39119903,66800,29481,618,9260,19603,,,0.075360616
24-06-2020,Afghanistan,39119903,67282,29640,639,9869,19132,,,0.075767059
25-06-2020,Afghanistan,39119903,68626,30175,675,10174,19326,,,0.077134649
26-06-2020,Afghanistan,39119903,69558,30451,683,10306,19462,,,0.077840173
27-06-2020,Afghanistan,39119903,70087,30616,703,10674,19239,,,0.078261953
28-06-2020,Afghanistan,39119903,70788,30967,721,12604,17642,,,0.079159194
29-06-2020,Afghanistan,39119903,71549,31238,733,13934,16571,,,0.079851936
30-06-2020,Afghanistan,39119903,72318,31517,746,14131,16640,,,0.080565128
01-07-2020,Afghanistan,39119903,72906,31836,774,15651,15411,,,0.08138057
02-07-2020,Afghanistan,39119903,73515,32022,807,16041,15174,,,0.081856031
03-07-2020,Afghanistan,39119903,74287,32324,819,17331,14174,,,0.082628017
04-07-2020,Afghanistan,39119903,75155,32672,826,19164,12682,,,0.083517589
05-07-2020,Afghanistan,39119903,75747,32951,864,19366,12721,,,0.084230781
06-07-2020,Afghanistan,39119903,76415,33190,898,20103,12189,,,0.084841724
07-07-2020,Afghanistan,39119903,76910,33384,920,20179,12285,,,0.085337635
08-07-2020,Afghanistan,39119903,77501,33594,936,20700,11958,,,0.085874446
09-07-2020,Afghanistan,39119903,78217,33908,957,20847,12104,,,0.086677107
10-07-2020,Afghanistan,39119903,78959,34194,971,20882,12341,,,0.087408192
11-07-2020,Afghanistan,39119903,79354,34366,994,21135,12237,,,0.087847866
12-07-2020,Afghanistan,39119903,79732,34451,1010,21216,12225,,,0.088065147
13-07-2020,Afghanistan,39119903,79804,34455,1012,21254,12189,,,0.088075372
14-07-2020,Afghanistan,39119903,81252,34740,1048,21454,12238,,,0.088803901
15-07-2020,Afghanistan,39119903,81934,34994,1094,22456,11444,,,0.089453187
16-07-2020,Afghanistan,39119903,82352,35070,1113,22824,11133,,,0.089647462
17-07-2020,Afghanistan,39119903,82924,35229,1147,23151,10931,,,0.090053904
18-07-2020,Afghanistan,39119903,83138,35301,1164,23273,10864,,,0.090237954
19-07-2020,Afghanistan,39119903,83771,35475,1181,23634,10660,,,0.09068274
20-07-2020,Afghanistan,39119903,83937,35526,1185,23741,10600,,,0.090813109
21-07-2020,Afghanistan,39119903,84202,35615,1186,23741,10688,,,0.091040614
22-07-2020,Afghanistan,39119903,84579,35727,1190,23924,10613,,,0.091326914
23-07-2020,Afghanistan,39119903,85413,35928,1211,24550,10167,,,0.091840719
24-07-2020,Afghanistan,39119903,85970,35981,1225,24602,10154,,,0.091976199
25-07-2020,Afghanistan,39119903,86166,36036,1248,24793,9995,,,0.092116793
26-07-2020,Afghanistan,39119903,86907,36157,1259,25180,9718,,,0.092426098
27-07-2020,Afghanistan,39119903,87378,36263,1269,25198,9796,,,0.09269706
28-07-2020,Afghanistan,39119903,87794,36368,1270,25358,9740,,,0.092965466
29-07-2020,Afghanistan,39119903,88199,36471,1271,25389,9811,,,0.093228759
30-07-2020,Afghanistan,39119903,88524,36542,1271,25471,9800,,,0.093410252
31-07-2020,Afghanistan,39119903,89066,36675,1272,25509,9894,,,0.093750232
01-08-2020,Afghanistan,39119903,89255,36710,1283,25509,9918,,,0.093839701
02-08-2020,Afghanistan,39119903,89255,36710,1284,25510,9916,,,0.093839701
03-08-2020,Afghanistan,39119903,89377,36747,1288,25669,9790,,,0.093934282
04-08-2020,Afghanistan,39119903,89377,36782,1288,25669,9825,,,0.094023751
05-08-2020,Afghanistan,39119903,89822,36829,1294,25742,9793,,,0.094143894
06-08-2020,Afghanistan,39119903,90396,36896,1298,25840,9758,,,0.094315162
07-08-2020,Afghanistan,39119903,92585,37015,1307,25903,9805,,,0.094619355
08-08-2020,Afghanistan,39119903,92710,37054,1312,25960,9782,,,0.094719049
09-08-2020,Afghanistan,39119903,92710,37054,1312,25960,9782,,,0.094719049
10-08-2020,Afghanistan,39119903,92710,37162,1328,26228,9606,,,0.094995123
11-08-2020,Afghanistan,39119903,96781,37269,1344,26415,9510,,,0.095268641
12-08-2020,Afghanistan,39119903,97199,37345,1354,26694,9297,,,0.095462916
13-08-2020,Afghanistan,39119903,97778,37424,1363,26714,9347,,,0.095664859
14-08-2020,Afghanistan,39119903,97791,37431,1363,26714,9354,,,0.095682753
15-08-2020,Afghanistan,39119903,98304,37551,1370,27166,9015,,,0.095989502
16-08-2020,Afghanistan,39119903,98718,37596,1375,27166,9055,,,0.096104533
17-08-2020,Afghanistan,39119903,98772,37599,1375,27166,9058,,,0.096112202
18-08-2020,Afghanistan,39119903,98772,37599,1375,27166,9058,,,0.096112202
19-08-2020,Afghanistan,39119903,98772,37599,1375,27166,9058,,,0.096112202
20-08-2020,Afghanistan,39119903,100138,37856,1385,27681,8790,,,0.096769156
21-08-2020,Afghanistan,39119903,100377,37894,1385,28016,8493,,,0.096866293
22-08-2020,Afghanistan,39119903,100679,37953,1385,28016,8552,,,0.097017112
23-08-2020,Afghanistan,39119903,100960,37999,1387,28180,8432,,,0.097134699
24-08-2020,Afghanistan,39119903,101208,38054,1389,28360,8305,,,0.097275292
25-08-2020,Afghanistan,39119903,101377,38070,1397,28440,8233,,,0.097316192
26-08-2020,Afghanistan,39119903,101893,38113,1401,29042,7670,,,0.097426111
27-08-2020,Afghanistan,39119903,102168,38129,1401,29046,7682,,,0.097467011
28-08-2020,Afghanistan,39119903,102321,38140,1402,29059,7679,,,0.097495129
29-08-2020,Afghanistan,39119903,102381,38143,1402,29063,7678,,,0.097502798
30-08-2020,Afghanistan,39119903,102598,38162,1402,29089,7671,,,0.097551367
31-08-2020,Afghanistan,39119903,102643,38165,1402,29089,7674,,,0.097559035
01-09-2020,Afghanistan,39119903,102778,38196,1406,29231,7559,,,0.097638279
02-09-2020,Afghanistan,39119903,103199,38243,1409,29315,7519,,,0.097758422
03-09-2020,Afghanistan,39119903,103674,38288,1409,29390,7489,,,0.097873453
04-09-2020,Afghanistan,39119903,103924,38304,1409,29713,7182,,,0.097914353
05-09-2020,Afghanistan,39119903,104155,38324,1409,30082,6833,,,0.097965478
06-09-2020,Afghanistan,39119903,104575,38398,1412,30537,6449,,,0.09815464
07-09-2020,Afghanistan,39119903,105053,38494,1415,30557,6522,,,0.098400039
08-09-2020,Afghanistan,39119903,105213,38520,1418,30715,6387,,,0.098466502
09-09-2020,Afghanistan,39119903,105422,38544,1420,31048,6076,,,0.098527852
10-09-2020,Afghanistan,39119903,105765,38572,1420,31129,6023,,,0.098599426
11-09-2020,Afghanistan,39119903,106062,38606,1420,31154,6032,,,0.098686339
12-09-2020,Afghanistan,39119903,106270,38641,1420,31234,5987,,,0.098775807
13-09-2020,Afghanistan,39119903,106802,38716,1420,31638,5658,,,0.098967526
14-09-2020,Afghanistan,39119903,107167,38772,1425,32073,5274,,,0.099110675
15-09-2020,Afghanistan,39119903,107399,38815,1426,32098,5291,,,0.099220594
16-09-2020,Afghanistan,39119903,107593,38855,1436,32503,4916,,,0.099322843
17-09-2020,Afghanistan,39119903,107858,38872,1436,32505,4931,,,0.0993663
18-09-2020,Afghanistan,39119903,107968,38883,1437,32576,4870,,,0.099394418
19-09-2020,Afghanistan,39119903,108193,38919,1437,32576,4906,,,0.099486443
20-09-2020,Afghanistan,39119903,108591,39044,1441,32576,5027,,,0.099805973
18-04-2020,Albania,2877077,5311,548,26,302,220,,,0.019047109
19-04-2020,Albania,2877077,5542,562,26,314,222,,,0.019533714
20-04-2020,Albania,2877077,5775,584,26,327,231,,,0.020298379
21-04-2020,Albania,2877077,6017,609,26,345,238,,,0.021167317
22-04-2020,Albania,2877077,6269,634,27,356,251,,,0.022036254
23-04-2020,Albania,2877077,6509,663,27,385,251,,,0.023044222
24-04-2020,Albania,2877077,6768,678,27,394,257,,,0.023565584
25-04-2020,Albania,2877077,7015,712,27,403,282,,,0.024747339
26-04-2020,Albania,2877077,7279,726,28,410,288,,,0.025233944
27-04-2020,Albania,2877077,7491,736,28,422,286,,,0.025581519
28-04-2020,Albania,2877077,7758,750,30,431,289,,,0.026068124
29-04-2020,Albania,2877077,8028,766,30,455,281,,,0.026624244
30-04-2020,Albania,2877077,8253,773,31,470,272,,,0.026867546
01-05-2020,Albania,2877077,8498,782,31,488,263,,,0.027180364
02-05-2020,Albania,2877077,8866,769,29,531,233,,,0.026728516
03-05-2020,Albania,2877077,8866,795,31,531,233,,,0.027632211
04-05-2020,Albania,2877077,9006,803,31,543,229,,,0.027910271
05-05-2020,Albania,2877077,9276,820,31,570,219,,,0.028501149
06-05-2020,Albania,2877077,9531,832,31,595,206,,,0.028918239
07-05-2020,Albania,2877077,9806,842,31,605,206,,,0.029265814
08-05-2020,Albania,2877077,10044,850,31,620,199,,,0.029543874
09-05-2020,Albania,2877077,10268,856,31,627,198,,,0.029752419
10-05-2020,Albania,2877077,10438,868,31,650,187,,,0.030169509
11-05-2020,Albania,2877077,10559,872,31,654,187,,,0.030308539
12-05-2020,Albania,2877077,10802,876,31,682,163,,,0.030447569
13-05-2020,Albania,2877077,11048,880,31,688,161,,,0.030586599
14-05-2020,Albania,2877077,11239,898,31,694,173,,,0.031212234
15-05-2020,Albania,2877077,11458,916,31,705,180,,,0.031837869
16-05-2020,Albania,2877077,11764,933,31,714,188,,,0.032428746
17-05-2020,Albania,2877077,12024,946,31,715,200,,,0.032880594
18-05-2020,Albania,2877077,12192,948,31,727,190,,,0.032950109
19-05-2020,Albania,2877077,12369,949,31,742,176,,,0.032984866
20-05-2020,Albania,2877077,12555,964,31,758,175,,,0.033506229
21-05-2020,Albania,2877077,12759,969,31,771,167,,,0.033680016
22-05-2020,Albania,2877077,12933,981,31,777,173,,,0.034097106
23-05-2020,Albania,2877077,13133,989,31,783,175,,,0.034375166
24-05-2020,Albania,2877077,13279,998,32,789,177,,,0.034687984
25-05-2020,Albania,2877077,13333,1004,32,795,177,,,0.034896529
26-05-2020,Albania,2877077,13506,1029,33,803,193,,,0.035765466
27-05-2020,Albania,2877077,13768,1050,33,812,205,,,0.036495374
28-05-2020,Albania,2877077,13993,1076,33,823,220,,,0.037399069
29-05-2020,Albania,2877077,14269,1099,33,851,215,,,0.038198491
30-05-2020,Albania,2877077,14498,1122,33,857,232,,,0.038997914
31-05-2020,Albania,2877077,14723,1137,33,872,232,,,0.039519276
01-06-2020,Albania,2877077,14825,1143,33,877,233,,,0.039727821
02-06-2020,Albania,2877077,15068,1164,33,891,240,,,0.040457728
03-06-2020,Albania,2877077,15365,1184,33,898,253,,,0.041152878
04-06-2020,Albania,2877077,15647,1197,33,898,266,,,0.041604726
05-06-2020,Albania,2877077,15810,1212,33,910,269,,,0.042126088
06-06-2020,Albania,2877077,16063,1232,34,925,273,,,0.042821238
07-06-2020,Albania,2877077,16255,1246,34,938,274,,,0.043307843
08-06-2020,Albania,2877077,16357,1263,34,945,284,,,0.043898721
09-06-2020,Albania,2877077,16716,1299,34,960,305,,,0.045149991
10-06-2020,Albania,2877077,17027,1341,34,980,327,,,0.046609806
11-06-2020,Albania,2877077,17318,1385,35,1001,349,,,0.048139136
12-06-2020,Albania,2877077,17618,1416,36,1034,346,,,0.049216618
13-06-2020,Albania,2877077,17888,1464,36,1039,389,,,0.050884978
14-06-2020,Albania,2877077,18250,1521,36,1044,441,,,0.052866155
15-06-2020,Albania,2877077,18569,1590,36,1055,499,,,0.055264423
16-06-2020,Albania,2877077,18933,1672,37,1064,571,,,0.058114538
17-06-2020,Albania,2877077,19266,1722,38,1077,607,,,0.059852413
18-06-2020,Albania,2877077,19546,1788,39,1086,663,,,0.062146408
19-06-2020,Albania,2877077,19876,1838,42,1114,682,,,0.063884283
20-06-2020,Albania,2877077,20196,1891,43,1126,722,,,0.06572643
21-06-2020,Albania,2877077,20523,1962,44,1134,784,,,0.068194212
22-06-2020,Albania,2877077,20762,1995,44,1159,792,,,0.06934121
23-06-2020,Albania,2877077,21090,2047,45,1195,807,,,0.0711486
24-06-2020,Albania,2877077,21437,2114,47,1217,850,,,0.073477352
25-06-2020,Albania,2877077,21781,2192,49,1250,893,,,0.076188437
26-06-2020,Albania,2877077,22183,2269,51,1298,920,,,0.078864764
27-06-2020,Albania,2877077,22538,2330,53,1346,931,,,0.080984972
28-06-2020,Albania,2877077,22912,2402,55,1384,963,,,0.083487512
29-06-2020,Albania,2877077,23283,2466,58,1438,970,,,0.085711992
30-06-2020,Albania,2877077,23654,2535,62,1459,1014,,,0.088110259
01-07-2020,Albania,2877077,23869,2580,65,1516,999,,,0.089674347
02-07-2020,Albania,2877077,24237,2662,69,1559,1034,,,0.092524461
03-07-2020,Albania,2877077,24601,2752,72,1592,1088,,,0.095652636
04-07-2020,Albania,2877077,24601,2819,74,1637,1108,,,0.097981389
05-07-2020,Albania,2877077,24601,2893,76,1657,1160,,,0.100553444
06-07-2020,Albania,2877077,25730,2964,79,1702,1183,,,0.103021226
07-07-2020,Albania,2877077,26239,3038,81,1744,1213,,,0.105593281
08-07-2020,Albania,2877077,26637,3106,83,1791,1232,,,0.107956791
09-07-2020,Albania,2877077,27038,3188,83,1832,1273,,,0.110806906
10-07-2020,Albania,2877077,27458,3278,85,1875,1318,,,0.113935081
11-07-2020,Albania,2877077,27878,3371,89,1881,1401,,,0.117167528
12-07-2020,Albania,2877077,28298,3454,93,1946,1415,,,0.1200524
13-07-2020,Albania,2877077,28883,3571,95,2014,1462,,,0.124119028
14-07-2020,Albania,2877077,29334,3667,97,2062,1508,,,0.127455748
15-07-2020,Albania,2877077,29695,3752,101,2091,1560,,,0.130410135
16-07-2020,Albania,2877077,30120,3851,104,2137,1610,,,0.133851127
17-07-2020,Albania,2877077,30551,3906,107,2214,1585,,,0.13576279
18-07-2020,Albania,2877077,31052,4008,111,2264,1633,,,0.139308055
19-07-2020,Albania,2877077,31383,4090,112,2311,1667,,,0.14215817
20-07-2020,Albania,2877077,31383,4171,113,2352,1706,,,0.144973527
21-07-2020,Albania,2877077,31383,4290,117,2397,1776,,,0.149109669
22-07-2020,Albania,2877077,31383,4358,120,2463,1775,,,0.151473179
23-07-2020,Albania,2877077,33105,4466,123,2523,1820,,,0.155226989
24-07-2020,Albania,2877077,33669,4570,128,2608,1834,,,0.158841769
25-07-2020,Albania,2877077,33669,4637,134,2637,1866,,,0.161170521
26-07-2020,Albania,2877077,34477,4763,138,2682,1943,,,0.165549966
27-07-2020,Albania,2877077,34477,4880,144,2745,1991,,,0.169616594
28-07-2020,Albania,2877077,34477,4997,148,2789,2060,,,0.173683221
29-07-2020,Albania,2877077,34477,5105,150,2830,2125,,,0.177437031
30-07-2020,Albania,2877077,35986,5197,154,2883,2160,,,0.180634721
31-07-2020,Albania,2877077,35986,5276,157,2952,2167,,,0.183380563
01-08-2020,Albania,2877077,37503,5396,161,2961,2274,,,0.187551463
02-08-2020,Albania,2877077,37503,5519,166,3018,2335,,,0.191826635
03-08-2020,Albania,2877077,37503,5620,172,3031,2417,,,0.195337143
04-08-2020,Albania,2877077,37503,5750,176,3031,2543,,,0.199855617
05-08-2020,Albania,2877077,38997,5889,182,3123,2584,,,0.20468691
06-08-2020,Albania,2877077,38997,6016,188,3155,2673,,,0.209101112
07-08-2020,Albania,2877077,40675,6151,189,3227,2735,,,0.213793374
08-08-2020,Albania,2877077,40675,6275,193,3268,2814,,,0.218103304
09-08-2020,Albania,2877077,40675,6411,199,3342,2870,,,0.222830324
10-08-2020,Albania,2877077,42242,6536,200,3379,2957,,,0.227175011
11-08-2020,Albania,2877077,42242,6676,205,3480,2991,,,0.232041061
12-08-2020,Albania,2877077,42854,6817,208,3552,3057,,,0.236941868
13-08-2020,Albania,2877077,42854,6971,213,3616,3142,,,0.242294523
14-08-2020,Albania,2877077,42854,7117,219,3695,3203,,,0.247369118
15-08-2020,Albania,2877077,45402,7260,225,3746,3289,,,0.25233944
16-08-2020,Albania,2877077,46028,7380,228,3794,3358,,,0.25651034
17-08-2020,Albania,2877077,46529,7499,230,3816,3453,,,0.260646483
18-08-2020,Albania,2877077,47461,7654,232,3871,3551,,,0.266033895
19-08-2020,Albania,2877077,48325,7812,234,3928,3650,,,0.27152558
20-08-2020,Albania,2877077,49172,7967,238,3986,3743,,,0.276912992
21-08-2020,Albania,2877077,50036,8119,240,4096,3783,,,0.282196132
22-08-2020,Albania,2877077,50873,8275,245,4184,3846,,,0.287618301
23-08-2020,Albania,2877077,51658,8427,250,4332,3845,,,0.292901441
24-08-2020,Albania,2877077,52605,8605,254,4413,3938,,,0.299088276
25-08-2020,Albania,2877077,53475,8759,259,4530,3970,,,0.304440931
26-08-2020,Albania,2877077,54353,8927,263,4633,4031,,,0.310280191
27-08-2020,Albania,2877077,54353,9083,266,4791,4026,,,0.31570236
28-08-2020,Albania,2877077,56019,9195,271,4923,4001,,,0.3195952
29-08-2020,Albania,2877077,56815,9279,275,5020,3984,,,0.32251483
30-08-2020,Albania,2877077,57618,9380,280,5139,3961,,,0.326025338
31-08-2020,Albania,2877077,58438,9513,284,5214,4015,,,0.330648085
01-09-2020,Albania,2877077,59250,9606,290,5441,3875,,,0.333880532
02-09-2020,Albania,2877077,60106,9728,296,5582,3850,,,0.338120947
03-09-2020,Albania,2877077,60941,9844,301,5732,3811,,,0.342152817
04-09-2020,Albania,2877077,60941,9967,306,5882,3779,,,0.346427989
05-09-2020,Albania,2877077,62658,10102,312,5976,3814,,,0.351120252
06-09-2020,Albania,2877077,63505,10255,316,6106,3833,,,0.356438149
07-09-2020,Albania,2877077,64329,10406,319,6186,3901,,,0.361686531
08-09-2020,Albania,2877077,65159,10553,321,6239,3993,,,0.366795883
09-09-2020,Albania,2877077,66011,10704,322,6284,4098,,,0.372044266
10-09-2020,Albania,2877077,66881,10860,324,6346,4190,,,0.377466436
11-09-2020,Albania,2877077,66881,11021,327,6443,4251,,,0.383062393
12-09-2020,Albania,2877077,68628,11185,330,6494,4361,,,0.388762623
13-09-2020,Albania,2877077,69505,11353,334,6569,4450,,,0.394601882
14-09-2020,Albania,2877077,70367,11520,338,6615,4567,,,0.400406385
15-09-2020,Albania,2877077,71177,11672,340,6668,4664,,,0.405689524
16-09-2020,Albania,2877077,72001,11816,343,6733,4740,,,0.410694604
17-09-2020,Albania,2877077,72818,11948,347,6788,4813,,,0.415282594
18-09-2020,Albania,2877077,73651,12073,353,6831,4889,,,0.419627281
19-09-2020,Albania,2877077,74487,12226,358,6888,4980,,,0.424945179
20-09-2020,Albania,2877077,75331,12385,362,6940,5083,,,0.430471621
18-04-2020,Algeria,44025729,3359,2534,367,894,1273,,,0.005755725
19-04-2020,Algeria,44025729,6500,2629,375,1047,1207,,,0.005971508
20-04-2020,Algeria,44025729,6500,2718,384,1099,1235,,,0.006173663
21-04-2020,Algeria,44025729,6500,2811,392,1152,1267,,,0.006384903
22-04-2020,Algeria,44025729,6500,2910,402,1204,1304,,,0.006609771
23-04-2020,Algeria,44025729,6500,3007,407,1355,1245,,,0.006830097
24-04-2020,Algeria,44025729,6500,3127,415,1408,1304,,,0.007102665
25-04-2020,Algeria,44025729,6500,3256,419,1479,1358,,,0.007395675
26-04-2020,Algeria,44025729,6500,3382,425,1508,1449,,,0.007681872
27-04-2020,Algeria,44025729,6500,3517,432,1558,1527,,,0.007988511
28-04-2020,Algeria,44025729,6500,3649,437,1651,1561,,,0.008288335
29-04-2020,Algeria,44025729,6500,3848,444,1702,1702,,,0.008740344
30-04-2020,Algeria,44025729,6500,4006,450,1779,1777,,,0.009099225
01-05-2020,Algeria,44025729,6500,4154,453,1821,1880,,,0.009435392
02-05-2020,Algeria,44025729,6500,4295,459,1936,2075,,,0.009755659
03-05-2020,Algeria,44025729,6500,4474,463,1936,2075,,,0.010162239
04-05-2020,Algeria,44025729,6500,4648,465,1998,2185,,,0.010557463
05-05-2020,Algeria,44025729,6500,4838,470,2067,2301,,,0.010989029
06-05-2020,Algeria,44025729,6500,4997,476,2197,2324,,,0.011350181
07-05-2020,Algeria,44025729,6500,5182,483,2323,2376,,,0.01177039
08-05-2020,Algeria,44025729,6500,5369,488,2467,2414,,,0.012195142
09-05-2020,Algeria,44025729,6500,5558,494,2546,2518,,,0.012624436
10-05-2020,Algeria,44025729,6500,5723,502,2678,2543,,,0.012999217
11-05-2020,Algeria,44025729,6500,5891,507,2841,2543,,,0.013380812
12-05-2020,Algeria,44025729,6500,6067,515,2998,2554,,,0.013780578
13-05-2020,Algeria,44025729,6500,6253,522,3058,2673,,,0.014203058
14-05-2020,Algeria,44025729,6500,6442,529,3158,2755,,,0.014632353
15-05-2020,Algeria,44025729,6500,6629,536,3271,2822,,,0.015057104
16-05-2020,Algeria,44025729,6500,6821,542,3409,2870,,,0.015493213
17-05-2020,Algeria,44025729,6500,7019,548,3507,2964,,,0.01594295
18-05-2020,Algeria,44025729,6500,7201,555,3625,3021,,,0.016356345
19-05-2020,Algeria,44025729,6500,7377,561,3746,3070,,,0.016756111
18-04-2020,Andorra,77293,1673,704,35,205,464,,,0.910819867
19-04-2020,Andorra,77293,1673,713,36,235,442,,,0.922463871
20-04-2020,Andorra,77293,1673,717,37,248,432,,,0.927638984
21-04-2020,Andorra,77293,1673,717,37,282,398,,,0.927638984
22-04-2020,Andorra,77293,1673,723,37,309,377,,,0.935401653
23-04-2020,Andorra,77293,1673,723,37,333,353,,,0.935401653
24-04-2020,Andorra,77293,1673,731,40,344,347,,,0.945751879
25-04-2020,Andorra,77293,1673,738,40,344,354,,,0.954808327
26-04-2020,Andorra,77293,1673,738,40,344,354,,,0.954808327
27-04-2020,Andorra,77293,1673,743,40,385,318,,,0.961277218
28-04-2020,Andorra,77293,1673,743,41,398,304,,,0.961277218
29-04-2020,Andorra,77293,1673,743,42,423,278,,,0.961277218
30-04-2020,Andorra,77293,1673,745,42,468,235,,,0.963864774
01-05-2020,Andorra,77293,1673,745,43,468,234,,,0.963864774
02-05-2020,Andorra,77293,1673,747,44,493,210,,,0.966452331
03-05-2020,Andorra,77293,1673,748,45,493,210,,,0.967746109
04-05-2020,Andorra,77293,1673,750,45,499,206,,,0.970333665
05-05-2020,Andorra,77293,1673,751,46,514,191,,,0.971627444
06-05-2020,Andorra,77293,1673,751,46,521,184,,,0.971627444
07-05-2020,Andorra,77293,1673,752,47,526,179,,,0.972921222
08-05-2020,Andorra,77293,1673,752,47,537,168,,,0.972921222
09-05-2020,Andorra,77293,1673,754,48,545,161,,,0.975508778
10-05-2020,Andorra,77293,1673,755,48,550,157,,,0.976802557
11-05-2020,Andorra,77293,1673,755,48,550,157,,,0.976802557
12-05-2020,Andorra,77293,1673,758,48,568,142,,,0.980683891
